è l'una,it's one o'clock | it is one o'clock
it's one o'clock | it is one o'clock,è l'una
coda,tail | queue | line | end
tail | queue | line | end,coda
dritto,straight | straight ahead
straight | straight ahead,dritto
come,how | like | as | what
how | like | as | what,come
a destra,to the right | on the right
to the right | on the right,a destra
arrivare,to arrive | arrive | arrives | arrived
to arrive | arrive | arrives | arrived,arrivare
sono le,it's | they are
it's | they are,sono le
dodici,twelve
twelve,dodici
scuse,excuse me | sorry | apologies
excuse me | sorry | apologies,scuse
scusi,excuse me
excuse me,scusi
che ore sono,what time is it
what time is it,che ore sono
scarico,dead | drainpipe | I dump | I unload | out of power
dead | drainpipe | I dump | I unload | out of power,scarico
meno,less | minus
less | minus,meno
finalmente,finally
finally,finalmente
preferisco,prefer | I like best | I like better
prefer | I like best | I like better,preferisco
utile,handy | profit | income | useful | helpful
handy | profit | income | useful | helpful,utile
marche,brands | march
brands | march,marche
economiche,cheap | economic | economics | economical
cheap | economic | economics | economical,economiche
più,most | plus | more | over | again
most | plus | more | over | again,più
quell',that | what | those
that | what | those,quell'
blu,blue
blue,blu
spendere,gone | went | going
gone | went | going,spendere
quella,that | what | those | that's
that | what | those | that's,quella
banco,bar | desk
bar | desk,banco
bianco,blanc | white | bianco
blanc | white | bianco,bianco
penna,pen
pen,penna
inutile,useless | unhelpful | unnecessary
useless | unhelpful | unnecessary,inutile
cartolina,postcard
postcard,cartolina
quello,that | what | those | that's
that | what | those | that's,quello
verde,green
green,verde
brutto,bad | ugly | poor | worse | nasty
bad | ugly | poor | worse | nasty,brutto
bambola,doll
doll,bambola
souvenir,mementos | souvenirs | souvenir
mementos | souvenirs | souvenir,souvenir
qualche,any | some | a few
any | some | a few,qualche
quel,that | what
that | what,quel
vendere,sold | shop | sell | stock | carry
sold | shop | sell | stock | carry,vendere
carino,kind | nice | cute | lovely | pretty
kind | nice | cute | lovely | pretty,carino
chiama,calls | rings | names | phones | 's name
calls | rings | names | phones | 's name,chiama
compra,buy | buys | bought | he purchases | you purchase
buy | buys | bought | he purchases | you purchase,compra
spazzatura,trash
trash,spazzatura
mazza,bat | club
bat | club,mazza
disgustoso,sick | gross | grossest | disgusting
sick | gross | grossest | disgusting,disgustoso
dolce,soft | cake | mild | sweet | candy
soft | cake | mild | sweet | candy,dolce
marco,mark | I brand | I emphasize | Marco
mark | I brand | I emphasize | Marco,marco
pulite,wash | clean | you clear up | you clear out | you do the housework
wash | clean | you clear up | you clear out | you do the housework,pulite
apri,open | clear | unlock | you undo | you head
open | clear | unlock | you undo | you head,apri
tutto,everything
everything,tutto
aprite,open | clear
open | clear,aprite
sporco,mark | used | soil | lousy | dirty
mark | used | soil | lousy | dirty,sporco
burro,butter
butter,burro
nello,in | on | to | by | inside
in | on | to | by | inside,nello
metti,keep | place
keep | place,metti
forno,oven | ovens | bakery | baker’s shop
oven | ovens | bakery | baker’s shop,forno
palle,ball | shot | balls
ball | shot | balls,palle
prato,lea | lawn | grass | meadow
lea | lawn | grass | meadow,prato
mettete,keep | place | you put on | you put up | you put in
keep | place | you put on | you put up | you put in,mettete
nella,to | in | by | into | whole
to | in | by | into | whole,nella
kilo,kilo
kilo,kilo
pentola,pot | pan | pots | potful | casserole
pot | pan | pots | potful | casserole,pentola
farina,flour
flour,farina
comprate,buy | square
buy | square,comprate
ricetta,method | remedy | recipe | recipes | prescription
method | remedy | recipe | recipes | prescription,ricetta
lavare,to wash
to wash,lavare
vacche,cows
cows,vacche
fanno,they do | they make | do | make
they do | they make | do | make,fanno
bicchiere,glass | goblets
glass | goblets,bicchiere
sua,her | his | its | hers | your
her | his | its | hers | your,sua
chiamare,to call
to call,chiamare
mamma,mom
mom,mamma
ammiro,admire
admire,ammiro
tua,'s | your | yours
's | your | yours,tua
papà,dad | daddy
dad | daddy,papà
tuo,your | yours
your | yours,tuo
cugina,cousin
cousin,cugina
canzone,song | entries | epic poem | canzone
song | entries | epic poem | canzone,canzone
mia,my | mine | mia
my | mine | mia,mia
sa,knows | know | he knows | she knows
knows | know | he knows | she knows,sa
mio,my | mine
my | mine,mio
giro,run | runs | walk | turn | walks
run | runs | walk | turn | walks,giro
cugino,cousin
cousin,cugino
invitato,asked | guest | invited | requested
asked | guest | invited | requested,invitato
gare,races
races,gare
aprile,April
April,aprile
razzo,jet | flare | rocket | missile | firework
jet | flare | rocket | missile | firework,razzo
devono,need | must | have to
need | must | have to,devono
so,know | knew
know | knew,so
organizzare,to organize
to organize,organizzare
evento,event
event,evento
dormono,sleep
sleep,dormono
edificio,building
building,edificio
Portogallo,Portugal
Portugal,Portogallo
partono,leave | they depart | they get off
leave | they depart | they get off,partono
pronto,hello | quick | right | agile | ready
hello | quick | right | agile | ready,pronto
geloso,jealous | possessive
jealous | possessive,geloso
preferite,favorite | you prefer
favorite | you prefer,preferite
dormite,be asleep | you sleep | you sit back | you are asleep
be asleep | you sleep | you sit back | you are asleep,dormite
Germania,Germany
Germany,Germania
tedeschi,German | Germans
German | Germans,tedeschi
ostello,hostel
hostel,ostello
Francia,France
France,Francia
vedono,saw | see | view | seen | told
saw | see | view | seen | told,vedono
prendono,hit | set | take | have
hit | set | take | have,prendono
paese,town | village | country
town | village | country,paese
francesi,French | French-speaking
French | French-speaking,francesi
aereo,plane | planes | aerial | airplane | airplanes
plane | planes | aerial | airplane | airplanes,aereo
prendete,take | took | grab
take | took | grab,prendete
vedete,see | try | saw | view | seen
see | try | saw | view | seen,vedete
viaggio,run | trip | runs | tour | travel
run | trip | runs | tour | travel,viaggio
prendiamo,take | took | we get | we grab
take | took | we get | we grab,prendiamo
marzo,March
March,marzo
paesi,towns | cities | countries
towns | cities | countries,paesi
Europa,Europe
Europe,Europa
europeo,European
European,europeo
televisione,television
television,televisione
guardate,watch | look to | look up | look at | look on
watch | look to | look up | look at | look on,guardate
calcio,soccer
soccer,calcio
bacio,kiss | perfect | excellent
kiss | perfect | excellent,bacio
guardiamo,look | watch | we keep watch on
look | watch | we keep watch on,guardiamo
molta,very | many | much | a lot of | at the utmost
very | many | much | a lot of | at the utmost,molta
mangiate,eat | you are eating
eat | you are eating,mangiate
siate,be | you are
be | you are,siate
pane,bread
bread,pane
mangiano,eat | they are eating
eat | they are eating,mangiano
già,yet | right | before | already | by then
yet | right | before | already | by then,già
vino,wine
wine,vino
quante,how | many | what | quantum | quantity
how | many | what | quantum | quantity,quante
parliamo,we talk | we speak | we are speaking
we talk | we speak | we are speaking,parliamo
