"Site Code","Site Name","Site Address","City","Country","Region","Legal Entity Name","ERP Code","Legal Entity Code","Sector","Business Unit","Business Field / Type / Service","%23 of Employees","Tier","Site Data Admin","Site Head","Digtial Lead / SPOC","OT Service Delivery Mgr.","OT Project Delivery Mgr.","OT Engineers","OT Solution Architect","CyberSecurity Mgr.","IT Business Partner","IT/OT Training Status","Roadmap Maturity","Current Maturity (BPOG)","Target Maturity (BPOG)","(Target) DPI Variant","IT Assessment","OT Assessment","DPI Core Implementation","DPI Operations","OT System Integration","Total Number of OT Applications","Number of OT Applications to be migrated to DPI","Number of migrated OT Applications","Migration Completed","Latitude","Longitude","Site Image","Review Due Date","Review Status","ID","MES System","MES Version","MES Template","MES Project Status","MES Main Contact","Site Engineering Director","Data Historian Availability","MIddleware Availability","Used Middleware","Used Data Historian","PM Production","PM Technical contact","PM System Size","PM Start of Operation","PM Technical specials"
"USAL1","Allentown (W)","6950 Ambassador Drive, Allentown, PA 18106, USA","Allentown (W)","United States of America","NASA",,"PRD Oracle","2066/AL01;
1975/BUR-ALN
1753/US63
1975/KAW (former Kankakee)","Life Science","ISCO","DC","65","Tier 2",,,,"Sandy Gribble",,,,"Sandy Gribble",,,"Stage 1 | Site Vision Roamap (idea)",,,"N/A",,,,,,,"1","0","0.0%","40.5969109591336","-75.614606428977",,"11/15/2025 12:37 AM","Completed / Updated","31",,,,,,,,,,,,,,,
"CHAL1","Altdorf","Weisshausmatte, 6460 Altdorf, Switzerland","Altdorf","Switzerland","EMEA","Merck & Cie KmG",,"1079","Life Science","ISCO","ISCO","110","Tier 1","Pirmin Bissig","Fabio Gerig","Pirmin Bissig;Yvonne Gothe","Pirmin Bissig;Yvonne Gothe",,,,"Pirmin Bissig;Yvonne Gothe","Massud Arghandiwall","Ongoing","Stage 2 | Approved Site Masterplan (Site LT approved)","1.3","3","Platinum","N/A","Planning","Completed","Merck-managed","Planning","25","18","7","38.9%","46.8672890163016","8.63342291139889",,"11/14/2025 2:04 AM","Update Pending","17",,,,,,,,,,,,,,,
"IEAR1","Arklow (Closure Announced)",,"Arklow","Ireland","EMEA",,,,"Life Science","ISCO","ISCO","110","Tier 2","Shane Conway",,"Shane Conway;Richie Fortune",,,,,,"Omar Nadhour",,"Stage 1 | Site Vision Roamap (idea)",,,"N/A",,,,,,,"1","0","0.0%","52.771149","-6.21825",,"11/14/2025 2:05 AM","Completed / Updated","18",,,,,,,,,,,,,,,
"JPAT1","Atsugi (W)",,"Atsugi (W)","Japan","APAC",,,,"Life Science","ISCO","DC","45","Tier 1 (NC)","Naoya Shibata",,"Naoya Shibata","Kalpesh Patil",,,,"Kalpesh Patil",,,"Stage 1 | Site Vision Roamap (idea)",,,"N/A",,,,,,,"1","0","0.0%","35.5207","139.34103",,"11/14/2025 5:52 AM","Completed / Updated","19",,,,,,,,,,,,,,,
,"Bangalore (Local DC)","1961/62C7; 1961/62D6; 2123/IN01; 2123/IN02; 2123/IN03; 2123/IN06; 2123/IN09 - SIGMA ALDRICH CHEMICALS","Bangalore","India","APAC",,"P95;PRP","1961/62C7; 1961/62D6; 2123/IN01; 2123/IN02; 2123/IN03; 2123/IN06; 2123/IN09 - SIGMA ALDRICH CHEMICALS","Life Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Completed / Updated","341",,,,,,,,,,,,,,,
"JPBA1","Baraki, Ichikawa (W)",,"Baraki, Ichikawa (W)","Japan","APAC",,,,"Life Science","ISCO","DC","13","Tier 1 (NC)","Narumi Ito",,"Narumi Ito",,,,,,,,"Stage 1 | Site Vision Roamap (idea)",,,"N/A",,,,,,,"1","0","0.0%","35.6957891691549","139.953376168976",,"11/14/2025 5:53 AM","Completed / Updated","20",,,,,,,,,,,,,,,
"CNBE6","Beijing (W)","GLP Logistic Park","Beijing","China","APAC",,"P95 PRP
","2118/CN02
1618/6102","Life Science","ISCO","DC",,,,,,"Kalpesh Patil",,,,"Kalpesh Patil",,,,,,,,,,,,,"1","0","0.0%",,,,,"Completed / Updated","317",,,,,,,,,,,,,,,
"USBF1","Bellefonte",,"Bellefonte","United States of America","NASA",,,,"Life Science","ISCO","ISCO","103","Tier 3","John Hart","Duane Funk","John Hart","John Hart",,,,"John Hart","Pedro Guerrero",,"Stage 1 | Site Vision Roamap (idea)",,,"N/A",,,,,,,"1","0","0.0%","40.8831124487144","-77.7389516591157",,"11/14/2025 5:55 AM","Completed / Updated","21",,,,,,,,,,,,,,,
"USBI1","Billerica",,"Billerica","United States of America","NASA",,,,"Life Science","ISCO","ISCO",,"Tier 1 (NC)",,,,,,,,,,,"Stage 1 | Site Vision Roamap (idea)",,,"N/A",,,,,,,"1",,,"42.5134408568761","-71.2304873956257",,"11/14/2025 12:42 PM","Completed / Updated","23",,,,,,,,,,,,,,,
"IECO2","Blarney (Cork)",,"Cork","Ireland","EMEA",,,,"Life Science","ISCO","ISCO","100","Tier 1 (NC)","Dave Murphy","Orla Fitzgerald","Fiona Lannin","Dave Murphy","Dave Murphy;Mike Barry","Sami El Sinnari","Dave Murphy","Fiona Lannin","Omar Nadhour","Ongoing","Stage 2 | Approved Site Masterplan (Site LT approved)","3","3","Premium","N/A","N/A","Completed","Merck-managed","Ongoing","24","0","24","#DIV/0!","51.9394675171852","-8.54764599894697",,"1/30/2026 12:44 PM","Completed / Updated","24",,,,,,,,,,,,,,,
